country,iso3,g_whoregion,year,rcvd_lab,rcvd_staff,rcvd_tot_domestic,rcvd_tot_gf,rcvd_tot_grnt,rcvd_tot_sources,rcvd_tot_usaid,download_date
Democratic People's Republic of Korea,PRK,SEA,2019,395532,2580600,5865000,1579312,6407638,13851950,0,2023-07-28
Democratic People's Republic of Korea,PRK,SEA,2020,2347653,2644000,6009200,14730153,0,20739353,0,2023-07-28
Democratic People's Republic of Korea,PRK,SEA,2021,1582935,2666600,7598300,1568620,0,9166920,0,2023-07-28
Democratic Republic of the Congo,COD,AFR,2017,2957757,2147644,187660,14342309,5775095,23721342,3416278,2023-07-28
Democratic Republic of the Congo,COD,AFR,2018,2749494,1625684,551800,11246710,5782655,24304949,6723784,2023-07-28
Democratic Republic of the Congo,COD,AFR,2019,1466023,1828733,1711406,16431571,5858316,26244256,2242963,2023-07-28
Democratic Republic of the Congo,COD,AFR,2020,1373643,1613340,1070910,18548464,2921470,24783807,2242963,2023-07-28
Democratic Republic of the Congo,COD,AFR,2021,1756340,2585213,2107572,15045581,1898822,25861366,6809391,2023-07-28
Denmark,DNK,EUR,2017,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Denmark,DNK,EUR,2018,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Denmark,DNK,EUR,2019,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Denmark,DNK,EUR,2020,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Denmark,DNK,EUR,2021,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Djibouti,DJI,EMR,2017,545080,55188,NA,1673716,54100,1727816,NA,2023-07-28
Djibouti,DJI,EMR,2018,4369,120575,NA,701972,NA,701972,0,2023-07-28
Djibouti,DJI,EMR,2019,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Djibouti,DJI,EMR,2020,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Djibouti,DJI,EMR,2021,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Dominica,DMA,AMR,2017,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Dominica,DMA,AMR,2018,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Dominica,DMA,AMR,2019,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Dominica,DMA,AMR,2020,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Dominica,DMA,AMR,2021,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Dominican Republic,DOM,AMR,2017,176496,10420239,12111105,1867510,0,14058615,80000,2023-07-28
Dominican Republic,DOM,AMR,2018,481437,10941251,16047736,2886806,0,19014542,80000,2023-07-28
Dominican Republic,DOM,AMR,2019,1086530,12102109,15856292,1439564,25000,17320856,0,2023-07-28
Dominican Republic,DOM,AMR,2020,1500000,12563670,17549090,500000,448900,18539990,42000,2023-07-28
Dominican Republic,DOM,AMR,2021,2016573,13820,3230143,830801,56282,4117226,0,2023-07-28
Ecuador,ECU,AMR,2017,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Ecuador,ECU,AMR,2018,92243,NA,530111,NA,NA,530111,NA,2023-07-28
Ecuador,ECU,AMR,2019,NA,NA,826078,0,0,826078,0,2023-07-28
Ecuador,ECU,AMR,2020,0,0,521411,0,0,521411,0,2023-07-28
Ecuador,ECU,AMR,2021,0,NA,620629,0,0,620629,0,2023-07-28
Egypt,EGY,EMR,2017,0,0,134337,0,100511,234848,0,2023-07-28
Egypt,EGY,EMR,2018,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Egypt,EGY,EMR,2019,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Egypt,EGY,EMR,2020,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Egypt,EGY,EMR,2021,NA,NA,NA,NA,NA,NA,NA,2023-07-28
El Salvador,SLV,AMR,2017,358367,1226258,1398452,2416245,10000,3824697,0,2023-07-28
El Salvador,SLV,AMR,2018,834641,5228265,9580119,4453263,0,14033382,0,2023-07-28
El Salvador,SLV,AMR,2019,419763,6048504,10386530,1485863,0,11872393,0,2023-07-28
El Salvador,SLV,AMR,2020,873092,4069039,4835706,1731553,0,6567259,0,2023-07-28
El Salvador,SLV,AMR,2021,2587212,3022826,7520157,1283320,0,8803477,0,2023-07-28
Equatorial Guinea,GNQ,AFR,2017,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Equatorial Guinea,GNQ,AFR,2018,101000,60000,329000,NA,NA,329000,NA,2023-07-28
Equatorial Guinea,GNQ,AFR,2019,5000,60000,48000,0,141000,189000,0,2023-07-28
Equatorial Guinea,GNQ,AFR,2020,20000,65895,161112,0,122783,283895,0,2023-07-28
Equatorial Guinea,GNQ,AFR,2021,20000,77007,270007,0,100000,370007,0,2023-07-28
Eritrea,ERI,AFR,2017,NA,NA,NA,1666272,10000,1676272,0,2023-07-28
Eritrea,ERI,AFR,2018,489533,NA,NA,1364844,NA,1364844,NA,2023-07-28
Eritrea,ERI,AFR,2019,573626,NA,NA,1404489,NA,1404489,NA,2023-07-28
Eritrea,ERI,AFR,2020,560545,NA,NA,1597303,NA,1597303,NA,2023-07-28
Eritrea,ERI,AFR,2021,710939,144000,0,1597303,0,1597303,0,2023-07-28
Estonia,EST,EUR,2017,17994,42400,1168034,NA,NA,1168034,NA,2023-07-28
Estonia,EST,EUR,2018,18000,42000,950463,NA,NA,950463,NA,2023-07-28
Estonia,EST,EUR,2019,18000,41700,950700,0,0,950700,0,2023-07-28
Estonia,EST,EUR,2020,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Estonia,EST,EUR,2021,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Eswatini,SWZ,AFR,2017,1109255,2152189,3302926,9281755,1684270,14268951,NA,2023-07-28
Eswatini,SWZ,AFR,2018,1962385,3413965,1738295,5713115,7600807,15052217,NA,2023-07-28
Eswatini,SWZ,AFR,2019,942154,2221192,4591623,4725781,484735,12267201,2465062,2023-07-28
Eswatini,SWZ,AFR,2020,963752,3161702,1331704,5189753,217397,9898362,3159508,2023-07-28
Eswatini,SWZ,AFR,2021,1061088,1782721,538719,7782407,139777,12801837,4340934,2023-07-28
Ethiopia,ETH,AFR,2017,13747691,7750170,9626945,20829930,1566165,48495780,16472740,2023-07-28
Ethiopia,ETH,AFR,2018,8864518,7382626,10190096,16793725,3943632,41953353,11025900,2023-07-28
Ethiopia,ETH,AFR,2019,6780166,7817450,10319328,13388780,3313665,38469087,11447314,2023-07-28
Ethiopia,ETH,AFR,2020,6185031,9463680,9303503,13057257,2943842,37653602,12349000,2023-07-28
Ethiopia,ETH,AFR,2021,10346308,6565608,7092953,43726228,5060569,68439750,12560000,2023-07-28
Fiji,FJI,WPR,2017,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Fiji,FJI,WPR,2018,NA,750000,726000,314000,40000,1080000,NA,2023-07-28
Fiji,FJI,WPR,2019,25000,450000,652000,NA,30000,682000,NA,2023-07-28
Fiji,FJI,WPR,2020,25000,450000,664000,NA,30000,694000,NA,2023-07-28
Fiji,FJI,WPR,2021,25000,450000,652000,NA,30000,682000,NA,2023-07-28
Finland,FIN,EUR,2017,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Finland,FIN,EUR,2018,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Finland,FIN,EUR,2019,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Finland,FIN,EUR,2020,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Finland,FIN,EUR,2021,NA,NA,NA,NA,NA,NA,NA,2023-07-28
France,FRA,EUR,2017,NA,NA,NA,NA,NA,NA,NA,2023-07-28
France,FRA,EUR,2018,NA,NA,NA,NA,NA,NA,NA,2023-07-28
France,FRA,EUR,2019,NA,NA,NA,NA,NA,NA,NA,2023-07-28
France,FRA,EUR,2020,NA,NA,NA,NA,NA,NA,NA,2023-07-28
France,FRA,EUR,2021,NA,NA,NA,NA,NA,NA,NA,2023-07-28
French Polynesia,PYF,WPR,2017,NA,NA,NA,NA,NA,NA,NA,2023-07-28
French Polynesia,PYF,WPR,2018,NA,NA,NA,NA,NA,NA,NA,2023-07-28
French Polynesia,PYF,WPR,2019,NA,NA,NA,NA,NA,NA,NA,2023-07-28
French Polynesia,PYF,WPR,2020,NA,NA,NA,NA,NA,NA,NA,2023-07-28
French Polynesia,PYF,WPR,2021,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Gabon,GAB,AFR,2017,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Gabon,GAB,AFR,2018,224869,145217,421711,2252213,0,2673924,0,2023-07-28
Gabon,GAB,AFR,2019,60576,62267,562292,253253,21673,837218,NA,2023-07-28
Gabon,GAB,AFR,2020,5365,0,362340,231461,15996,609797,0,2023-07-28
Gabon,GAB,AFR,2021,275880,1302540,1773821,2003436,51187,3828444,0,2023-07-28
Gambia,GMB,AFR,2017,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Gambia,GMB,AFR,2018,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Gambia,GMB,AFR,2019,147210,131654,0,699837,16915,716752,0,2023-07-28
Gambia,GMB,AFR,2020,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Gambia,GMB,AFR,2021,267313,20429,0,1380605,0,1380605,0,2023-07-28
Georgia,GEO,EUR,2017,1734483,1060490,5027546,5705060,4146553,14948819,69660,2023-07-28
Georgia,GEO,EUR,2018,2520952,1152020,5407079,5312784,1804030,12644169,120276,2023-07-28
Georgia,GEO,EUR,2019,3225844,696504,4643963,6723107,1203872,12861051,290109,2023-07-28
Georgia,GEO,EUR,2020,1402700,782037,4042274,2944476,1663529,8650279,0,2023-07-28
Georgia,GEO,EUR,2021,957923,896901,3787331,2205522,963121,6955974,0,2023-07-28
Germany,DEU,EUR,2017,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Germany,DEU,EUR,2018,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Germany,DEU,EUR,2019,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Germany,DEU,EUR,2020,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Germany,DEU,EUR,2021,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Ghana,GHA,AFR,2017,7742489,2152988,4159067,13115910,0,17424977,150000,2023-07-28
Ghana,GHA,AFR,2018,4369678,1640726,3011486,5634119,167591,8963196,150000,2023-07-28
Ghana,GHA,AFR,2019,4846333,3215911,4933773,7415489,21262,12520524,150000,2023-07-28
Ghana,GHA,AFR,2020,2513303,1897940,1582000,7336850,0,9068850,150000,2023-07-28
Ghana,GHA,AFR,2021,3340458,1506559,700773,7045023,NA,7895796,150000,2023-07-28
Greece,GRC,EUR,2017,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Greece,GRC,EUR,2018,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Greece,GRC,EUR,2019,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Greece,GRC,EUR,2020,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Greece,GRC,EUR,2021,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Greenland,GRL,EUR,2017,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Greenland,GRL,EUR,2018,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Greenland,GRL,EUR,2019,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Greenland,GRL,EUR,2020,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Greenland,GRL,EUR,2021,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Grenada,GRD,AMR,2017,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Grenada,GRD,AMR,2018,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Grenada,GRD,AMR,2019,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Grenada,GRD,AMR,2020,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Grenada,GRD,AMR,2021,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Guam,GUM,WPR,2017,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Guam,GUM,WPR,2018,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Guam,GUM,WPR,2019,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Guam,GUM,WPR,2020,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Guam,GUM,WPR,2021,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Guatemala,GTM,AMR,2017,366003,1080860,1693487,1108172,NA,2801659,NA,2023-07-28
Guatemala,GTM,AMR,2018,949664,1400048,2348703,2012615,0,4361318,0,2023-07-28
Guatemala,GTM,AMR,2019,1439906,995998,2868327,2471128,NA,5339455,NA,2023-07-28
Guatemala,GTM,AMR,2020,1247398,1011469,2868327,2389705,0,5258032,0,2023-07-28
Guatemala,GTM,AMR,2021,1313911,635340,2844241,1418453,NA,4262694,NA,2023-07-28
Guinea,GIN,AFR,2017,700000,68722,785806,1392905,458406,2637117,0,2023-07-28
Guinea,GIN,AFR,2018,1293514,75184,597231,1394727,442272,2434230,0,2023-07-28
Guinea,GIN,AFR,2019,1293514,75184,662661,1394727,529431,2586819,0,2023-07-28
Guinea,GIN,AFR,2020,2305360,78185,581193,1938349,807913,3327455,0,2023-07-28
Guinea,GIN,AFR,2021,85600,82300,481193,1791582,206949,2479724,0,2023-07-28
Guinea-Bissau,GNB,AFR,2017,129953,328650,100000,2247276,9927,2357203,NA,2023-07-28
Guinea-Bissau,GNB,AFR,2018,34007,457369,321965,1813564,2500,2138029,NA,2023-07-28
Guinea-Bissau,GNB,AFR,2019,134517,584350,171200,2374463,11350,2557013,0,2023-07-28
Guinea-Bissau,GNB,AFR,2020,65740,518490,100000,1534277,4000,1638277,0,2023-07-28
Guinea-Bissau,GNB,AFR,2021,300517,554350,100000,2457013,0,2557013,0,2023-07-28
Guyana,GUY,AMR,2017,59816,508664,631939,488710,0,1120649,0,2023-07-28
Guyana,GUY,AMR,2018,15290,443962,1006103,306138,0,1312241,0,2023-07-28
Guyana,GUY,AMR,2019,63101,473510,900841,364043,0,1264884,0,2023-07-28
Guyana,GUY,AMR,2020,27285,534250,1031149,204082,0,1235231,0,2023-07-28
Guyana,GUY,AMR,2021,53314,596899,887748,222872,0,1110620,0,2023-07-28
Haiti,HTI,AMR,2017,744465,2450460,1175897,7464015,585000,9224912,NA,2023-07-28
Haiti,HTI,AMR,2018,666079,1477640,1175897,4868118,125010,6169025,NA,2023-07-28
Haiti,HTI,AMR,2019,405212,1684915,481113,8114914,1369934,9965961,NA,2023-07-28
Haiti,HTI,AMR,2020,1327404,1553987,240556,9456445,394743,10091744,NA,2023-07-28
Haiti,HTI,AMR,2021,469760,961752,103755,3745398,207511,4056664,NA,2023-07-28
Honduras,HND,AMR,2017,499966,2784859,2703575,2494435,111996,5310006,0,2023-07-28
Honduras,HND,AMR,2018,213627,2506893,2427191,1132049,112110,3671350,0,2023-07-28
Honduras,HND,AMR,2019,1621452,2734838,2634606,4358170,113171,7105947,0,2023-07-28
Honduras,HND,AMR,2020,6000,687054,1628512,403752,0,2032264,0,2023-07-28
Honduras,HND,AMR,2021,293011,0,177866,476520,NA,654386,NA,2023-07-28
Hungary,HUN,EUR,2017,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Hungary,HUN,EUR,2018,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Hungary,HUN,EUR,2019,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Hungary,HUN,EUR,2020,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Hungary,HUN,EUR,2021,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Iceland,ISL,EUR,2017,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Iceland,ISL,EUR,2018,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Iceland,ISL,EUR,2019,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Iceland,ISL,EUR,2020,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Iceland,ISL,EUR,2021,NA,NA,NA,NA,NA,NA,NA,2023-07-28
India,IND,SEA,2017,75474873,73507305,277874227,167198354,1000000,448358295,2285714,2023-07-28
India,IND,SEA,2018,48003093,108223951,324710527,85360000,55761662,483162189,17330000,2023-07-28
India,IND,SEA,2019,55733796,91780700,345897014,63444945,3925700,432567659,19300000,2023-07-28
India,IND,SEA,2020,53748665,81543217,313258754,57878793,4922741,395044288,18984000,2023-07-28
India,IND,SEA,2021,75120740,39795347,143040058,119332454,19403484,296775986,14999990,2023-07-28
Indonesia,IDN,SEA,2017,18359644,22469678,43257778,49296849,0,101571241,9016614,2023-07-28
Indonesia,IDN,SEA,2018,33485627,5756727,52200556,39928671,3927710,105980217,9923280,2023-07-28
Indonesia,IDN,SEA,2019,21039370,8816295,62180822,30376612,650240,94636500,1428826,2023-07-28
Indonesia,IDN,SEA,2020,41509092,9613014,43704258,64146143,0,115362919,7512518,2023-07-28
Indonesia,IDN,SEA,2021,68872895,11807118,92430890,68107791,998995,171665464,10127788,2023-07-28
Iran (Islamic Republic of),IRN,EMR,2017,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Iran (Islamic Republic of),IRN,EMR,2018,NA,NA,816256,0,0,816256,0,2023-07-28
Iran (Islamic Republic of),IRN,EMR,2019,NA,NA,1219581,NA,NA,1219581,NA,2023-07-28
Iran (Islamic Republic of),IRN,EMR,2020,NA,NA,1147056,NA,NA,1147056,NA,2023-07-28
Iran (Islamic Republic of),IRN,EMR,2021,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Iraq,IRQ,EMR,2017,1000000,18000000,19570000,2000000,0,21570000,0,2023-07-28
Iraq,IRQ,EMR,2018,1000000,18000000,19910000,1500000,0,21410000,0,2023-07-28
Iraq,IRQ,EMR,2019,1000000,17141000,19968000,780000,0,20748000,0,2023-07-28
Iraq,IRQ,EMR,2020,1000000,17141000,19968000,780000,0,20748000,0,2023-07-28
Iraq,IRQ,EMR,2021,1000000,17141000,19918000,780000,0,20698000,0,2023-07-28
Ireland,IRL,EUR,2017,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Ireland,IRL,EUR,2018,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Ireland,IRL,EUR,2019,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Ireland,IRL,EUR,2020,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Ireland,IRL,EUR,2021,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Israel,ISR,EUR,2017,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Israel,ISR,EUR,2018,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Israel,ISR,EUR,2019,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Israel,ISR,EUR,2020,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Israel,ISR,EUR,2021,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Italy,ITA,EUR,2017,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Italy,ITA,EUR,2018,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Italy,ITA,EUR,2019,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Italy,ITA,EUR,2020,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Italy,ITA,EUR,2021,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Jamaica,JAM,AMR,2017,NA,NA,NA,0,NA,0,0,2023-07-28
Jamaica,JAM,AMR,2018,NA,NA,22184,0,0,22184,0,2023-07-28
Jamaica,JAM,AMR,2019,NA,NA,NA,0,NA,0,0,2023-07-28
Jamaica,JAM,AMR,2020,NA,NA,NA,0,NA,0,0,2023-07-28
Jamaica,JAM,AMR,2021,NA,NA,NA,0,NA,0,0,2023-07-28
Japan,JPN,WPR,2017,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Japan,JPN,WPR,2018,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Japan,JPN,WPR,2019,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Japan,JPN,WPR,2020,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Japan,JPN,WPR,2021,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Jordan,JOR,EMR,2017,69000,1152000,1460000,248750,15000,1723750,0,2023-07-28
Jordan,JOR,EMR,2018,140000,1300000,1609500,137950,15000,1762450,0,2023-07-28
Jordan,JOR,EMR,2019,150000,1700000,1700000,722300,15000,2437300,0,2023-07-28
Jordan,JOR,EMR,2020,70000,1250000,600000,900000,216000,1716000,0,2023-07-28
Jordan,JOR,EMR,2021,203772,NA,NA,2532454,NA,2532454,NA,2023-07-28
Kazakhstan,KAZ,EUR,2017,2601703,89751220,117299985,10666287,2118878,130085150,0,2023-07-28
Kazakhstan,KAZ,EUR,2018,2372849,36397886,129553638,6267785,2306998,138394274,265853,2023-07-28
Kazakhstan,KAZ,EUR,2019,6763194,44484408,117456856,5548657,1449407,124773920,319000,2023-07-28
Kazakhstan,KAZ,EUR,2020,4848438,58854230,104811602,5257491,113645,110296383,113645,2023-07-28
Kazakhstan,KAZ,EUR,2021,5271357,54133463,114164018,2503754,94050,119011822,2250000,2023-07-28
Kenya,KEN,AFR,2017,1451654,11759650,12916437,13835149,NA,26804131,52545,2023-07-28
Kenya,KEN,AFR,2018,1439814,14249128,15411557,6513419,NA,26275860,4350884,2023-07-28
Kenya,KEN,AFR,2019,9993968,17527951,21427546,25033177,80086,52640809,6100000,2023-07-28
Kenya,KEN,AFR,2020,3444220,12634563,13664832,15817874,NA,34169897,4687191,2023-07-28
Kenya,KEN,AFR,2021,3538985,12926197,14679935,7772325,670571,29791042,6668211,2023-07-28
Kiribati,KIR,WPR,2017,26000,90000,0,104280,95480,199760,0,2023-07-28
Kiribati,KIR,WPR,2018,40698,214160,NA,148474,308222,456696,NA,2023-07-28
Kiribati,KIR,WPR,2019,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Kiribati,KIR,WPR,2020,NA,81413,NA,160036,NA,160036,NA,2023-07-28
Kiribati,KIR,WPR,2021,23324,375922,129460,114038,245871,489369,NA,2023-07-28
Kuwait,KWT,EMR,2017,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Kuwait,KWT,EMR,2018,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Kuwait,KWT,EMR,2019,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Kuwait,KWT,EMR,2020,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Kuwait,KWT,EMR,2021,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Kyrgyzstan,KGZ,EUR,2017,1559795,6236263,11718895,7476973,1048420,24688352,4444064,2023-07-28
Kyrgyzstan,KGZ,EUR,2018,1258373,117266,124585,5356734,329847,11571268,5760102,2023-07-28
Kyrgyzstan,KGZ,EUR,2019,1148568,5458278,8221399,6588542,518842,15328783,0,2023-07-28
Kyrgyzstan,KGZ,EUR,2020,1492880,181812,8777791,6871796,NA,17273868,1624281,2023-07-28
Kyrgyzstan,KGZ,EUR,2021,945261,85152,7645202,2812611,180000,12676719,2038906,2023-07-28
Lao People's Democratic Republic,LAO,WPR,2017,622228,519776,0,2586887,0,2586887,0,2023-07-28
Lao People's Democratic Republic,LAO,WPR,2018,889214,578998,586586,2991080,0,3577666,0,2023-07-28
Lao People's Democratic Republic,LAO,WPR,2019,1571997,255974,658422,2978169,0,3636591,0,2023-07-28
Lao People's Democratic Republic,LAO,WPR,2020,1316991,258867,377077,3164640,0,3541717,0,2023-07-28
Lao People's Democratic Republic,LAO,WPR,2021,598281,139690,687973,1318518,0,2006491,0,2023-07-28
Latvia,LVA,EUR,2017,NA,NA,2185827,NA,NA,2185827,NA,2023-07-28
Latvia,LVA,EUR,2018,NA,NA,2216505,NA,NA,2216505,NA,2023-07-28
Latvia,LVA,EUR,2019,NA,NA,2216505,NA,NA,2216505,NA,2023-07-28
Latvia,LVA,EUR,2020,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Latvia,LVA,EUR,2021,NA,NA,NA,NA,NA,NA,NA,2023-07-28
Lebanon,LBN,EMR,2017,197447,741648,331436,714036,0,1045472,0,2023-07-28
Lebanon,LBN,EMR,2018,71800,720600,450713,874143,400000,1724856,0,2023-07-28
Lebanon,LBN,EMR,2019,100000,398160,1048076,240084,69400,1357560,0,2023-07-28
Lebanon,LBN,EMR,2020,25770,356000,390895,209694,7000,607589,0,2023-07-28
Lebanon,LBN,EMR,2021,168506,228610,26290,311018,261239,598547,0,2023-07-28
Lesotho,LSO,AFR,2017,6666,270198,1453281,4236471,1000000,6689752,NA,2023-07-28
Lesotho,LSO,AFR,2018,999645,342643,859650,964478,2128363,3952491,0,2023-07-28
